Line #,Key,en Version,hy Translation
38,hy.activerecord.attributes.story.tag_list,Tags,Tags
39,hy.activerecord.attributes.story.categories,Categories,Categories
40,hy.activerecord.attributes.story.story_type,Type,Type
41,hy.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,Show Story in Theme Slider
42,hy.activerecord.attributes.story_translation.title,Story Title,Story Title
43,hy.activerecord.attributes.story_translation.author,Author(s),Author(s)
44,hy.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),Photo and Video Author(s)
45,hy.activerecord.attributes.story_translation.translation_author,Translation Author(s),Translation Author(s)
46,hy.activerecord.attributes.story_translation.published,Publish?,Publish?
47,hy.activerecord.attributes.story_translation.published_at,Was Published,Was Published
48,hy.activerecord.attributes.story_translation.about,Story Summary,Story Summary
49,hy.activerecord.attributes.story_translation.permalink,Story URL,Story URL
50,hy.activerecord.attributes.story_translation.permalink_staging,Story URL,Story URL
51,hy.activerecord.attributes.section.has_marker,Navigation Shortcut,Navigation Shortcut
52,hy.activerecord.attributes.section.type_id,Type,Type
53,hy.activerecord.attributes.section.sort_order,Sort Order,Sort Order
54,hy.activerecord.attributes.section_translation.title,Title,Title
55,hy.activerecord.attributes.section_translation.audio,Audio Track,Audio Track
56,hy.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,Delete the Audio Track?
57,hy.activerecord.attributes.content.title,Title,Title
58,hy.activerecord.attributes.content.caption,Heading,Heading
59,hy.activerecord.attributes.content.sub_caption,Subheading,Subheading
60,hy.activerecord.attributes.content.content,Text,Text
61,hy.activerecord.attributes.medium.media_type,Media Type,Media Type
62,hy.activerecord.attributes.medium.image,Image,Image
63,hy.activerecord.attributes.medium.video,Video,Video
64,hy.activerecord.attributes.medium.video_loop,Loop Video,Loop Video
65,hy.activerecord.attributes.medium_translation.title,Title,Title
66,hy.activerecord.attributes.medium_translation.caption,Caption,Caption
67,hy.activerecord.attributes.medium_translation.caption_align,Caption Alignment,Caption Alignment
68,hy.activerecord.attributes.medium_translation.infobox_type,Caption Position,Caption Position
69,hy.activerecord.attributes.medium_translation.summary,Summary,Summary
70,hy.activerecord.attributes.medium_translation.source,Source,Source
71,hy.activerecord.attributes.medium_translation.image,Image,Image
72,hy.activerecord.attributes.medium_translation.video,Video,Video
73,hy.activerecord.attributes.slideshow.title,Title,Title
74,hy.activerecord.attributes.slideshow.caption,Heading,Heading
75,hy.activerecord.attributes.message.name,Name,Name
76,hy.activerecord.attributes.message.email,Email Address,Email Address
77,hy.activerecord.attributes.message.message,Message,Message
78,hy.activerecord.attributes.message.message_type,Feedback Type,Feedback Type
79,hy.activerecord.attributes.embed_medium_translation.title,Title,Title
80,hy.activerecord.attributes.embed_medium_translation.url,Url to Online Media,Url to Online Media
