Line #,Key,en Version,ru Translation
406,ru.filters.filters,Filters,Filters
407,ru.filters.all_stories,All Stories,All Stories
408,ru.filters.sort.recent,Recent,Recent
409,ru.filters.sort.reads,Views,Views
410,ru.filters.sort.likes,Likes,Likes
411,ru.filters.category_header,Category,Category
412,ru.filters.category_title,View stories that belong to a category,View stories that belong to a category
413,ru.filters.theme_header,Theme,Theme
414,ru.filters.theme_title,View stories that belong to a theme,View stories that belong to a theme
415,ru.filters.language_header,Language,Language
416,ru.filters.language_title,View stories that are written in a particular language,View stories that are written in a particular language
417,ru.filters.search,Find a Story,Find a Story
418,ru.filters.following,Following,Following
419,ru.filters.following_title,View stories of users that you are following,View stories of users that you are following
420,ru.filters.following_title_active,Remove Following filter,Remove Following filter
421,ru.filters.not_published,Not Published,Not Published
422,ru.filters.not_published_title,View stories that are not published,View stories that are not published
423,ru.filters.not_published_title_active,Show all stories,Show all stories
424,ru.tokeninput.searchingText,Searching...,Searching...
425,ru.tokeninput.tag.hintText,Search for an existing tag or enter a new tag,Search for an existing tag or enter a new tag
426,ru.tokeninput.tag.noResultsText,No matches found. Press 'Enter' to save this new tag.,No matches found. Press 'Enter' to save this new tag.
427,ru.tokeninput.collaborator.hintText,Search for an existing user or enter the email address for a new user,Search for an existing user or enter the email address for a new user
428,ru.tokeninput.collaborator.noResultsText,No matches found. Press 'Enter' to add this email address to the list of invited collaborators.,No matches found. Press 'Enter' to add this email address to the list of invited collaborators.
429,ru.layouts.unsupported_browser.title,Unsupported Browser,Unsupported Browser
430,ru.layouts.unsupported_browser.video,Your browser does not support this video.,Your browser does not support this video.
431,ru.layouts.unsupported_browser.p1,We are sorry to report that your browser is out of date and will not properly render the content from this website.,We are sorry to report that your browser is out of date and will not properly render the content from this website.
432,ru.layouts.unsupported_browser.p2,"On the bright side, there are several free browsers that you can download that are compatible with this site.","On the bright side, there are several free browsers that you can download that are compatible with this site."
433,ru.layouts.unsupported_browser.chrome,Chrome,Chrome
434,ru.layouts.unsupported_browser.firefox,Firefox,Firefox
435,ru.layouts.unsupported_browser.ie,Internet Explorer (Windows only),Internet Explorer (Windows only)
436,ru.layouts.unsupported_browser.opera,Opera,Opera
